Id;score;at;content;content_en
457;1;15/09/2025 09:36;paket estimasi tanggal 13 tapi sampe tanggal 17 belum ada perubahan masih dikirim, fakkkk!!!;The package was estimated on the 13th, but until the 17th there had been no changes, it was still being sent, wow!!!
458;2;15/09/2025 09:35;shopee aplikasinya bagus hanya saja sekarang jika kita tidak sengaja menekan memesan dan saat ingin membatalkan pesanan langsung malah tidak bisa dan langsung di proses seharusnya di kasih waktu kurang lebih 10 menit untuk membatalkan pesanan.;Shopee's application is good, but now if we accidentally press order and when we want to cancel the order straight away we can't and it's processed straight away, we should be given approximately 10 minutes to cancel the order.
459;1;15/09/2025 09:35;"app jelek banyak rekomend ini e-commerce tapi apaan baru daftar kyc + langganan VIP gak bisa buat checkout langsung batal sistem ""aktivitas mencurigakan"" rugi langganan 6 bulan lagi 😭 tapi gak bisa dipakek, udah buat laporan cs jawaban sama gak guna juga, kayak bot.";"Bad app, lots of recommendations for this e-commerce, but what's new, register for KYC + VIP subscription, can't make checkout immediately cancel ""suspicious activity"" system, loss of subscription for another 6 months 😭 but can't use it, I've made a CS report with the same answer and it's useless, like a bot."
460;5;15/09/2025 09:35;mantap banget mau beli apa aja cepat dan bagus;Really great if you want to buy anything fast and good
461;5;15/09/2025 09:35;mantap;solid
462;4;15/09/2025 09:34;tidak bikin kecewa;don't disappoint
463;1;15/09/2025 09:34;proses pengiriman lewat 3h;Delivery process takes 3 hours
464;5;15/09/2025 09:32;jos;if
465;4;15/09/2025 09:30;mi uPO WORKSHIT ANGSAKU 150 WAJIB DP 100 TUTUP PO TANGGAL 10 SEPTEMBER 1.TGHIRWNSYAH XL 2.M.ARDI.N.Z (panjang)XXXL ✅ 3.BAGONG XL 130k 4.KHRISSS L 40k 5.MANYULL L(panjang)✅ 6.MPENG L 7.PEKXYZ L 100 8.MALMET L 120k 9.E.FAM XL 50k 10.MAZ.TOYIP XL ✅ 11.NYILL L 105k 12.SELFICANS L ✅ 13.KEMPUS XL 100k 14.CECEP XL 50k 15.CEMIK L ✅ 16.NIDAASOY L✅ 17.NURUL XL ✅ 18.BAD.BOYS L 100k 19.KANCHEL L 20.B@DUGH L 140k 21.AKBAR XL 22.OKA XL 110k 23.MAJID XL 100k 24.NANDA XL 25.ROHMAN XL✅ 26.HAPIZZTS XL 1;mi uPO WORKSHIT ANGSAKU 150 WAJIB DP 100 TUTUP PO TANGGAL 10 SEPTEMBER 1.TGHIRWNSYAH XL 2.M.ARDI.N.Z (panjang)XXXL ✅ 3.BAGONG XL 130k 4.KHRISSS L 40k 5.MANYULL L(panjang)✅ 6.MPENG L 7.PEKXYZ L 100 8.MALMET L 120k 9.E.FAM XL 50k 10.MAZ.TOYIP XL ✅ 11.NYILL L 105k 12.SELFICANS L ✅ 13.KEMPUS XL 100k 14.CECEP XL 50k 15.CEMIK L ✅ 16.NIDAASOY L✅ 17.NURUL XL ✅ 18.BAD.BOYS L 100k 19.KANCHEL L 20.B@DUGH L 140k 21.AKBAR XL 22.OKA XL 110k 23.MAJID XL 100k 24.NANDA XL 25.ROHMAN XL✅ 26.HAPIZZTS XL 1
466;5;15/09/2025 09:30;🥰🥰🥰🥰🥰;🥰🥰🥰🥰🥰
467;5;15/09/2025 09:30;sangat membantu saya dalam belanja online;really helps me in online shopping
468;5;15/09/2025 09:28;bagusss bangeet;really good
469;5;15/09/2025 09:28;Aplikasi yang sangat membantu kinerja yang terhalang waktu dan jarak...;An application that really helps performance hindered by time and distance...
470;5;15/09/2025 09:27;aplikasi shopee top deh. ketika ada komplin barang yang rusak / bermasalah langsung di respon. bintang 5 dehh. apalagi sekarang shopee sudah punya expedisi sendiri SPX , sering gratis ongkir & semakin kilat. promo discon pokonya sip deh ...;top shopee application.When there is a complaint about damaged/problematic goods, we respond immediately.5 stars.especially now that shopee has its own SPX expedition, often free shipping & even faster.the main discount promo is great...
471;5;15/09/2025 09:24;pokok nya mantap;the tree is strong
472;5;15/09/2025 09:22;bagus;Good
473;5;15/09/2025 09:21;baik;Good
474;5;15/09/2025 09:20;good;good
475;5;15/09/2025 09:19;Pengalaman berbelanja yg menyenangkan,tapi kalau bisa jangan biarkan produk palsu di loloskan di etalase dengan dalih promo atau discount besar2an. Mohon di perbaiki lagi🙏🙏;A pleasant shopping experience, but if possible, don't let fake products pass through the window under the pretext of promotions or big discounts.Please fix it again🙏🙏
476;5;15/09/2025 09:19;oke;limit
477;5;15/09/2025 09:19;mantap;solid
478;5;15/09/2025 09:18;knp ya belanja di shopee gk bisa pke ewallet dana, gopay, ovo.?? coba klo bisa, psti lbh asyikk..;Why can't you shop at Shopee using Dana, GoPay, OVO ewallet??Try it if you can, it's definitely more fun..
479;4;15/09/2025 09:18;aplikasi sangat luar biasa, tapi mungkin bisa ditambah aplikasi pembayaran dengan Qris;The application is extraordinary, but maybe you could add a payment application with Qris
480;1;15/09/2025 09:18;"Jujur saya kecewa banget sama Costumer servise shoppe, pelayanan nya sangat buruk dan lambat. saya padahal sudah langganan lama di shopee. tapi pelayanan nya buruk sekali. Pas saya chat cs shopee masalahnya saya hanya di lempar"" tidak terselesaikan👎🏻👎🏻👎🏻";"Honestly, I am really disappointed with the customer service shop, the service is very bad and slow.Even though I've been a shopee subscriber for a long time.but the service is very bad.When I chatted with Shopee CS, my problem was just thrown ""not resolved👎🏻👎🏻👎🏻"
481;5;15/09/2025 09:17;👍👍;👍👍
482;5;15/09/2025 09:17;good lh pokok e;It's good, tree e
483;5;15/09/2025 09:16;semua aman puas pokonya;everyone is safe and satisfied
484;5;15/09/2025 09:16;sangat puas;very satisfied
485;5;15/09/2025 09:16;bagus;Good
486;4;15/09/2025 09:16;semoga maju terus;good luck moving forward
487;5;15/09/2025 09:15;"Alhamndulillah sangat puas dengan shopee, proses cepat dapat dipertanggungjawabkan. saya beralih pada aplikasi ini sebab lebih minim adanya penipuan. meskipun saat pertama saya tertipu juga dari oknum2 kurir, ada pemberitahuan dari aplikasi ""Barang tidak dikirim karena alamat kurang lengkap"" stlh konfirmasi pada jasa pengiriman terdekat ujung2nya agar transfer. darisanalah saya tertipu stlh transfer sebab kurir tetap minta pembayaran cod..";"Alhamndulillah, I am very satisfied with Shopee, the process is fast and can be accounted for.I switched to this application because there was less fraud.Even though at first I was deceived by unscrupulous couriers, there was a notification from the application ""Goods were not sent because the address was incomplete"" after confirming with the nearest delivery service for transfer.That's where I was cheated after the transfer because the courier kept asking for COD payment..."
488;5;15/09/2025 09:14;pelayanan memuaskan;satisfactory service
489;5;15/09/2025 09:14;ternyata suka blnja disini;Turns out I like shopping here
490;5;15/09/2025 09:13;kiriman cepat, ukuran sesuai, bahan tipis lembut;Fast delivery, right size, soft thin material
491;3;15/09/2025 09:13;gajadi bintang 5 njir, sekarang shopee lama banget, pengemasan doang aja kadang 2 hari , pengiriman kadang stuck terus eww;Didn't get 5 stars, now shopee takes a really long time, packaging only sometimes takes 2 days, delivery sometimes gets stuck eww
492;5;15/09/2025 09:13;ok. ko saya belum bisa pake payleter;OK.I can't use PayLater yet
493;5;15/09/2025 09:11;good;good
494;5;15/09/2025 09:10;terimakasih sudah ad jadi beli barang tdk susa lagi;Thank you, it's already there, so I can't buy things anymore
495;3;15/09/2025 09:10;bagus;Good
496;5;15/09/2025 09:09;aplikasi yang bagus dan sangat membantu;good application and very helpful
497;4;15/09/2025 09:08;sekarang melakukan pinjaman di shope cairny lamaaaaaaa smpe berhari2.. beda sama yang dulu yg hanya beberapa menit lagsung cair.. gmna klo smpe psisi butuh bnget ya.. tolong dong shope diperbaiki lagi palayanannya;Now making a loan at Shope takes a long time to disburse, up to days... it's different from the previous one which only took a few minutes to disburse straight away... What if you really need it... Shope can please improve its service again.
498;5;15/09/2025 09:07;Barang sesuai pesanan, pengiriman cepat mudah, biaya pengiriman murah;Goods as ordered, fast easy delivery, cheap delivery costs
499;5;15/09/2025 09:06;mantaaaappp;MantaApp
500;5;15/09/2025 09:06;sangat membantu ,dipercaya, barang yang di jual di sini bervariasi sesuai budget customer;very helpful, trustworthy, the goods sold here vary according to the customer's budget
501;5;15/09/2025 09:05;bagus;Good
502;3;15/09/2025 09:03;jelek;signs
503;5;15/09/2025 09:03;good luck;good luck
504;5;15/09/2025 09:03;good;good
505;5;15/09/2025 09:03;lebih mudah cari barang yang di inginkan.;it's easier to find the items you want.
506;3;15/09/2025 09:03;suka sih, tapi kurirnya sekarang payah;I like it, but the courier is terrible now
507;4;15/09/2025 09:03;sangat bagus, tapi kurir ngasih kbr dululah.jng ujuk2 dtg k rmh.klo saya lg gk ada gimana?;Very good, but the courier gave me a message first. Don't come to the house. What if I'm not there?
508;5;15/09/2025 09:01;bagus tapi untuk spinjam saya beku pas naik limit aneh;good but my spinjam froze when I went up to the strange limit
509;5;15/09/2025 09:01;shopee Kren banget aku suka 👍;shopee Very cool, I like it 👍
510;5;15/09/2025 09:00;mantap;solid
511;5;15/09/2025 08:59;apk nya bagus 👍;the apk is good 👍
512;5;15/09/2025 08:59;bajunya bagus banget,saya suka walaupun kepanjang,bahan adem puas pokoknya;The clothes are really nice, I like them even though they are long, the material is cool, I'm really satisfied
513;5;15/09/2025 08:58;terima kasih;Thank You
514;5;15/09/2025 08:58;pokoknya bagus sekali;basically it's very good
515;5;15/09/2025 08:53;sangat menari;very dancing
516;5;15/09/2025 08:53;aplikasi yang sangat bagus dan banyak discount dalam belanja;Very good application and lots of discounts in shopping
517;5;15/09/2025 08:53;baguss banget rekomendasikan buat yang malas keluar udh murah amanahh lagi pokoknya Bess deh;really good, recommend it for those who don't want to go out, it's cheap, it's really cheap, Bess
518;1;15/09/2025 08:51;kurang transparan tak mau di kritik;lack of transparency and don't want to be criticized
519;5;15/09/2025 08:51;makin maju shopee;Shopee is getting more and more advanced
520;5;15/09/2025 08:51;Sponsored by artist of the plonga fo you want you to distribute of the plonga plongo you want...☝️👇💖💖💖🤲💕💕💕💕🤲🤲🤲🤲😄🤭⭕⭕👇👇;Sponsored by artist of the plonga fo you want you to distribute of the plonga plongo you want...☝️👇💖💖💖🤲💕💕💕💕🤲🤲🤲🤲😄🤭⭕⭕👇👇
521;5;15/09/2025 08:51;mantap;solid
522;5;15/09/2025 08:47;menyala abngku;my brother lit up
523;5;15/09/2025 08:47;Shopee terbaik untuk saat ini. sangat membantu dan terpercaya;The best Shopee for now.very helpful and trustworthy
524;1;15/09/2025 08:46;tolong jangan paksa kami untuk langsung melihat live saat pertama kali buka apk nya;Please don't force us to immediately watch live the first time we open the apk
525;5;15/09/2025 08:46;pesanan datang tepat waktu dan barang sesuai pesanan;The order arrived on time and the goods were as ordered
526;5;15/09/2025 08:46;terbaik oke ok ok ok;best okay ok ok ok
527;5;15/09/2025 08:42;ok;ok
528;5;15/09/2025 08:41;👍👍👍🤩🤩🤩🤩;👍👍👍🤩🤩🤩🤩
529;5;15/09/2025 08:41;aplikasi serbaguna. ini itu gampang;multipurpose application.this is easy
530;5;15/09/2025 08:40;mantap;solid
531;5;15/09/2025 08:38;mantap & bermanfaat;solid & useful
532;5;15/09/2025 08:38;sangat bagus;very good
533;5;15/09/2025 08:38;semoga trus komitmen;I hope you continue to commit
534;3;15/09/2025 08:37;saat dibuka langsung menampilkan live dan video benerin lagi bugnya masa dibiarin terus;When you open it, it immediately displays live and video, which fixes the bug when you leave it on
535;2;15/09/2025 08:36;shopee kalau pas mau di buka aplikasi langsung ke halaman vidio affiliate/live sendiri, mana susah dikembaliin ke beranda;If you want to open Shopee, the application goes straight to the affiliate/live video page itself, which is difficult to return to the home page
536;5;15/09/2025 08:35;belanja yg ke sekian ke sekian kalinya dan berkali kali pokoknya slalu puas puas.terimakasih lancar dan sukses slalu;shopping for the umpteenth time and many times, but always satisfied. Thank you, smooth and successful always
537;5;15/09/2025 08:34;Seru banget bikin penasaran sama semua sale nya;It's really exciting and makes you curious about all the sales
538;3;15/09/2025 08:33;kenapa iklan shopee sekarang maksa ya. emang shopee sekarang udah mulai ga laku kah;why are shopee advertisements so forced now?Is it true that Shopee is starting to not sell now?
539;4;15/09/2025 08:33;Mengecewakan sekali... Baru kali ini pakai Shopee kok makin lama banget pengiriman nya... Biasanya cepat tanggap;Very disappointing... This is the first time I've used Shopee, but the delivery took so long... Usually they respond quickly
540;5;15/09/2025 08:32;mohon ongkir nya harus bisa disesuaikan dengan harga barang, kalau bisa di perbanyak gratis ongkir nya,dan hadiah2 Nya terima kasih;Please, the postage must be adjusted to the price of the goods, if possible, it's free of charge, and the prizes, thank you
541;5;15/09/2025 08:32;enak;nice
542;5;15/09/2025 08:32;rekom sangat puas dan berkualitas..;Recommend very satisfied and quality..
543;1;15/09/2025 08:32;kebanyakan iklan janji2 palsu dgn promo 2 nya. apalagi kalo pake paylater cara kerjanya mirip pinjol2 notifnya;Most of the advertisements make false promises with promos.Especially if you use PayLater, the way it works is similar to Pinjol2 Notif
544;5;15/09/2025 08:31;aplikasi yang sangat bagus di gunakan untuk berbelanja.;Very good application to use for shopping.
545;1;15/09/2025 08:30;saya kasih B1 karena merasa kecewa setiap pemesanan barang pemesanan selalu tidak menerima paket dalam bentuk apapun tapi di aplikasi paket sudah diterima, padahal alamat mau pun nomor hp sama dengan yang saya pakai. mungkin pengalaman menggunakan aplikasi ini jelek;I gave B1 because I felt disappointed that every time I ordered goods, I always didn't receive a package in any form, but in the application the package had been received, even though the address and cellphone number were the same as the ones I used.maybe the experience of using this application is bad
546;5;15/09/2025 08:29;sangat pro;very pro
547;1;15/09/2025 08:29;katanya shopee lebih cepet lebih hemat tapi aku pedes paket bari kemarin saptu belum sampai hari ini 15 September seharusnya paketnya batang kari ini kok belum sampai penipuan teknik marketing shopee;Shopee says it's faster and more economical, but I'm hot, the package arrived yesterday, Saturday, but it hasn't arrived today, September 15. The package for these curry sticks hasn't arrived yet. Shopee's marketing technique is a scam.
548;5;15/09/2025 08:29;bagus dan sagat di percaya;good and very trustworthy
549;5;15/09/2025 08:28;suka bngt;really like it
550;5;15/09/2025 08:27;mantapppppppppppp;mantapppppppppppp
551;5;15/09/2025 08:26;Bagus bangat;Very good
552;1;15/09/2025 08:24;Terima kasih;Thank You
553;1;15/09/2025 08:24;cs kurang ajar gak sopan;CS is rude and impolite
554;1;15/09/2025 08:23;Parah..terlalu banyak peluang pembeli nakal transaksi disini👎👎👎;Worse... too many opportunities for naughty buyers to make transactions here👎👎👎
555;5;15/09/2025 08:23;bagus cepat pengiriman nya;good fast delivery
556;5;15/09/2025 08:21;shoppe memudah kita untuk berbelnja .;Shopee makes it easy for us to shop.
557;5;15/09/2025 08:20;sangat menyenangkan;very pleasant
558;5;15/09/2025 08:18;shopee sangat terbaik kasih harga yg ekonomis kualitas terbaik;Shopee is the best, giving economical prices, the best quality
559;5;15/09/2025 08:16;mudah dan amanah;easy and reliable
560;5;15/09/2025 08:14;Sangat bagus dan cocok;Very nice and suitable
561;5;15/09/2025 08:10;"shopee indonesia paling mantap pokonya sangat membantu dan mudah""an makin maju";Shopee Indonesia is the best, it's really helpful and hopefully you'll progress further
562;5;15/09/2025 08:09;"Hampir tiap hari ""sodara"" bini gue mampir kerumah ga tau bawain bungkusan apa aja 😭";"Almost every day my wife's ""brother"" stops by the house and doesn't know what package to bring 😭"
563;5;15/09/2025 08:06;ok;ok
564;5;15/09/2025 08:06;murah, berkualitas cepat;cheap, fast quality
565;1;15/09/2025 08:04;kenapa nomer kurir nya tidak ada, informasi sepenting seperti ini tidak di tampilkan, jika ada masalah pertanggung jawaban nya mudah. kerja di lapangan sangat-sangat banyak kemungkinan kejadian tidak di ketahui, jika nomer pengirim (kurir) tidak di cantumkan itu tidak kooperatif. kalian hanya kerja duduk saja. tidak tau kondisi lapangan. jika bisa di berikan nilai nol. maka saya akan nilai nol untuk aplikasi ini. saya pindah saja ke aplikasi sebelah lebih aman walaupun sedikit mahal;why is the courier number not there, this important information is not displayed, if there is a problem the responsibility is easy.Working in the field, there is a very high possibility that events will go unnoticed, if the sender (courier) number is not included, it is not cooperative.you just work sitting down.don't know the field conditions.if possible, give a value of zero.then I will score zero for this application.I just moved to the next application which is safer even though it is a little expensive
566;5;15/09/2025 08:04;terimakasih shopee;thank you shopee
567;5;15/09/2025 08:03;harga murmer gratis ongkir pastinya🥰;Cheap prices, free shipping of course🥰
568;5;15/09/2025 08:02;bagus sih rekomen dah apk ini buat belanja online;I really recommend this apk for online shopping
569;5;15/09/2025 08:02;"bikin mudah mencari barang"" / alat";makes it easy to find items/tools
570;5;15/09/2025 08:00;sangat puas GK bakal kecewa;Very satisfied GK will be disappointed
571;5;15/09/2025 07:57;membantu;help
572;5;15/09/2025 07:57;shopee memang bagus tungguh apa lagi ayo belanjah ke shopee murah juga aman;Shopee is really good, what are you waiting for? Let's shop at Shopee, it's cheap and safe
573;5;15/09/2025 07:57;udah beberapa kali COD dari Shopee dan tidak pernah mengecewakan;I have COD from Shopee several times and it has never disappointed
574;5;15/09/2025 07:56;ok;ok
575;5;15/09/2025 07:55;Shopee memang mantap👍;Shopee is really great👍
576;5;15/09/2025 07:54;👍🏻;👍🏻
577;5;15/09/2025 07:54;the best;the best
578;5;15/09/2025 07:52;aplikasi sangat berguna;very useful app
579;5;15/09/2025 07:51;kenapa makin lemot ya??? padahal udah hapus cache tetap saja lemot padahal jaringan bagus kayak berat banget apk nya;why is it getting slower???even though I've cleared the cache it's still slow even though the network is good, it seems like the apk is really heavy
580;5;15/09/2025 07:51;ok;ok
581;5;15/09/2025 07:50;pokoknya bintang lima >__< 😝⭐️⭐️⭐️⭐️⭐️;basically five stars >__< 😝⭐️⭐️⭐️⭐️⭐️
582;5;15/09/2025 07:50;aplikasi online paling ok👍;the best online application👍
583;5;15/09/2025 07:49;memuaskan;satisfying
584;5;15/09/2025 07:48;sangat membantu..mudah proses dan cepat;very helpful..easy and fast process
585;1;15/09/2025 07:46;"kecewa lah belanja di shopee udah paling bener belanja di Tik tok shop masa cek out udah 2 Minggu barang masih di anter kurir aja gak sampe"" makin kesini makin gak jelas shopee bener"" kecewa udah paling bener di tik tok shop 2 3 hari barang udah sampe";"I'm disappointed to shop at Shopee, it's the best to shop at Tik Tok Shop, it's been 2 weeks since the check out, the item is still waiting for the courier, it's not arriving"" the more I get here, it's not clear if Shopee is right"" I'm disappointed, it's the best to shop at Tik Tok Shop, 2 to 3 days, the item has arrived"
586;5;15/09/2025 07:46;Shopee yang terbaik...👍👍;Shopee is the best...👍👍
587;4;15/09/2025 07:46;pilihan barang kurang banyak;less choice of items
588;4;15/09/2025 07:46;Mantap betul sekali;It's really good
589;5;15/09/2025 07:45;good;good
590;5;15/09/2025 07:45;bermanfaat untuk belanja online;useful for online shopping
591;5;15/09/2025 07:43;mantap;solid
592;5;15/09/2025 07:43;cantik banget;very beautiful
593;4;15/09/2025 07:43;ok;ok
594;5;15/09/2025 07:42;mantap markotop;great markotope
595;5;15/09/2025 07:40;mantap;solid
596;4;15/09/2025 07:39;bagus;Good
597;5;15/09/2025 07:39;Mantap buat usaha;Great for doing business
598;5;15/09/2025 07:38;Saya suka sekali sama Shopee walau kadang kena sial dari sistem yang buat saya merelakan dirugikan tetapi saya tetap belanja seminggu bisa 3-4 kali transaksi, apalagi flash sale banyak produk bagus dan ori tapi bisa kita beli murah semoga Shopee bisa lebih baik dan sempurna 💪💪💪;I really like Shopee even though sometimes I get bad luck from the system which makes me willing to suffer losses but I still shop 3-4 times a week, especially flash sales, lots of good and original products but we can buy them cheaply, hopefully Shopee can be better and perfect 💪💪💪
599;1;15/09/2025 07:37;kurang memuaskan pengiriman lama bikin kesel dan kecewa;Unsatisfactory, long delivery makes you annoyed and disappointed
600;5;15/09/2025 07:35;sangat memuaskan;very satisfactory
601;5;15/09/2025 07:35;Selalu Dapat notifikasi promo shopee discon Spayletter Begitu diklik spayletternya maaf blm bisa digunakan sekiranya memang belum bisa menggunakan promo discon trsebut jangan spam notifikasi pengaktifan spayletternya donk. jdi bikin kecewa kalau ujung2nya blm bisa menggunakan fitur trsbt. terima kasih;Always get Shopee discount Spayletter promo notifications. As soon as you click Spayletter, sorry it can't be used yet. If you can't use the discount promo, don't spam the Spayletter activation notification, please.So it will be disappointing if in the end you can't use this feature.Thank You
602;3;15/09/2025 07:34;Pada update terbaru, untuk beberapa jenis hp, layar tidak kompatibel sehingga ada tombol utk merentangkan ukuran layar.;In the latest update, for some types of cellphones, the screen is not compatible so there is a button to stretch the screen size.
603;5;15/09/2025 07:34;puass bangetttt sama apk nyaaa;satisfied and shocked with
604;5;15/09/2025 07:32;tepat wsktu.;on time.
605;5;15/09/2025 07:31;Tepat waktu. Sesuai;On time.In accordance
606;5;15/09/2025 07:31;Pengalaman saya satu aja,yg penting SHOPEE ,Belum pernah buat kecewa mantap 👍👍❤️ semoga Laris terus .;I only have one experience, the important thing is SHOPEE, I've never been disappointed 👍👍❤️ I hope it continues to sell well.
607;5;15/09/2025 07:28;bagus, bisa sampai tepat waktu👍;good, arrived on time👍
608;4;15/09/2025 07:27;sejauh ini cukup baik hanya saja pernah melaporkan beberapa penjual karena menipu barang tidak sesuai dengan yg di pesan dan itu memang sengaja dilaporkan karena penipuan tapi penjual itu masih bebas berjualan mencari korban berikutnya.;So far, it's pretty good, but I've reported several sellers for cheating, goods that don't match what was ordered and it was deliberately reported as fraud, but the seller is still free to sell, looking for the next victim.
609;5;15/09/2025 07:27;sangat membantu 😁🙏;very helpful 😁🙏
610;5;15/09/2025 07:26;sesuai pesanan;according to order
611;5;15/09/2025 07:25;bagus;Good
612;5;15/09/2025 07:24;semuanya bagus deh pokoknya;everything is good anyway
613;5;15/09/2025 07:24;bagus;Good
614;5;15/09/2025 07:23;shopee sangant membantu kami dalam memenuhi kebutuhan keluarga dan pribadi. sukses untuk platform shopee;Shopee really helps us in meeting family and personal needs.success for the shopee platform
615;5;15/09/2025 07:23;udah langganan;I've subscribed
616;5;15/09/2025 07:23;👍;👍
617;5;15/09/2025 07:21;berbelanja lengkap hanya di shopee;Complete shopping only at Shopee
618;5;15/09/2025 07:20;Toko online terbaik menurut saya;The best online shop in my opinion
619;5;15/09/2025 07:20;wao;they
620;5;15/09/2025 07:19;aplikasi sangat berguna dan sangat membantu;Very useful and very helpful app
621;1;15/09/2025 07:19;gk bisa d unduh;can't download it
622;4;15/09/2025 07:19;tap mntp;tap mntp
623;5;15/09/2025 07:18;Sangat memuaskan;Very satisfactory
624;5;15/09/2025 07:17;membantu dalam bertransaksi ecomerce;helps in e-commerce transactions
625;4;15/09/2025 07:14;jatwal pengirimanya mohon di sesuwaikan di aplikasi dong sehingga tau kapan barang akan diterima diwaktu yang lebih tepat,agarpenerima paket tidak menunggu waktu telalulama;Please adjust the delivery schedule in the application so you know when the goods will be received at a more appropriate time, so that the recipient of the package doesn't wait too long.
626;1;15/09/2025 07:13;Dalam hal adanya pembatalan pesanan, uang kita tidak dikembalikan dengan cepat, sangat mengecewakan pelayanannya;In the event of an order being canceled, our money was not returned quickly, the service was very disappointing
627;4;15/09/2025 07:13;tolong dong dibikin kyk dlu ad nomor kurir ny. biar lebih mudah kdng etsiminasi ny hari ini tpi gk nyampe' berujung dibatalin;please make it look like you already have the courier number.let it be easier for me to do the exam today but it didn't work and ended up being cancelled
628;5;15/09/2025 07:13;bagus banget realpict deh belanja disini✨;It's really good, the real picture is shopping here✨
629;5;15/09/2025 07:12;sangat bagus untuk yang suka mesan barang biar ga ribet;Very good for those who like to order things so it's not complicated
630;5;15/09/2025 07:12;mntap😋;nice 😋
631;5;15/09/2025 07:11;bagus pokoknya;really good
632;5;15/09/2025 07:10;suka beli ikan;likes to buy fish
633;5;15/09/2025 07:10;buah dapat gratis ongkir 0 rupiah di shopee anjay;You can get free shipping for 0 rupiah on Shopee Anjay
634;5;15/09/2025 07:09;oke;limit
635;5;15/09/2025 07:08;app sangat berguna banget;the app is very useful
636;5;15/09/2025 07:07;sesuai pesanan;according to order
637;5;15/09/2025 07:06;sesuka itu sama aplikasi Shopee, banyak gratis ongkir, pengiriman barang slalu tepat waktu, tidak mengecewakan pelanggan 😘;I like the Shopee application, lots of free shipping, delivery of goods is always on time, doesn't disappoint customers 😘
638;5;15/09/2025 07:05;baik;Good
639;5;15/09/2025 07:04;the best pokoknya;the best basically
640;1;15/09/2025 07:04;uda 6 hari ga bisa klaim koin. di live ktnya ada perangkat mencurigakan uda di chat tapi ga ada tindakannya sama sekali tolong diperbaiki;It's been 6 days and I can't claim the coins.On live broadcast there was a suspicious device in the chat but there was no action at all, please fix it
641;2;15/09/2025 07:04;untuk pengiriman sangat tidak ada memuaskan ny estimasi ny bsa berubah2 sendri mendingan di saat ada pkek JNT;the delivery is very unsatisfactory, the estimate can change, it's better when there is a JNT service
642;5;15/09/2025 07:04;sangat baik dan bagus untuk berbelanja kebutuhan;very good and good for shopping for necessities
643;5;15/09/2025 07:03;bagus;Good
644;5;15/09/2025 07:03;everything is oke;everything is oke
645;5;15/09/2025 07:02;bagus,murah cpt sampe 👍🏻👍🏻👍🏻 tapi kebanyakan yg jualan live,ganggu bgt masuk shoppe lgsung ke live,padahal yg mau dicari apa malah masuk uk kmn;good, cheap, arrived quickly 👍🏻👍🏻👍🏻 but most of them sell live, it's really annoying to enter the shop directly to live, even though what you want to look for, you go to UK instead
646;4;15/09/2025 07:01;lama² ngeselin apk shopee setiap buka live ngebug dan keluar sendiri,apk shopee ini penyimpanan terlalu besar tidak cocok untuk hp kentang;It's been annoying for a long time, every time the shopee apk opens it, it bugs and exits by itself, this shopee apk has too big storage, not suitable for potato cellphones
647;5;15/09/2025 07:01;beli apapun murah dan pelayanannya bagus🥰;buy anything cheap and the service is good🥰
648;5;15/09/2025 06:59;shopee ajiiib..🥰;shopee ajiiib..🥰
649;5;15/09/2025 06:59;sangat baik;Very good
650;5;15/09/2025 06:57;ok;ok
651;5;15/09/2025 06:57;barang baguss,rekomend👍👍👍;good stuff, recommend👍👍👍
652;5;15/09/2025 06:57;oke;limit
653;5;15/09/2025 06:54;murah, cepat sampai;cheap, arrived quickly
654;5;15/09/2025 06:54;"akun saya tidak bisa di buka,karna lupa sandi,setelah menerima oTp,malah muncul ""Sistem eror"", sudah hubungi cs shope,persyaratan nya super duper ribettttt,sudah nunggu 1x24 jam dan hasil nya gitu² aja Ampe sekarang ga bisa login karna lupa sandi,tolong untuk cs di permudah bukan di persulit,saya butuh solusi untuk buka akun saya,malah di tambah ribet! erorrr!!!";"I can't open my account, because I forgot the password, after receiving the OTP, a ""System error"" appears, I've contacted CS Shope, the requirements are super duper complicated, I've waited 1 x 24 hours and the results are the same. Until now I can't log in because I forgot the password, please make CS easier, not more difficult, I need a solution to open my account, it's even more complicated!error!!!"
655;1;15/09/2025 06:53;promo potongan nya bohong banget😭 sad, beli flash sale makanan, cuman bisa delivery dan ujung nya lebih mahal , kirain bisa pick up...;the discount promo is really a lie😭 sad, buy flash sale food, only get delivery and it ends up being more expensive, I thought you could pick up...
656;5;15/09/2025 06:53;mudah digunakan;easy to use
657;1;15/09/2025 06:52;pesanan dari tanggal 10 sept estimasi 13 sept, tanggal 15 sept belum juga di kirim, parah sih sekelas shopee bermitra dengan jasa kirim yang kerjanya molor;Order from September 10th, estimated September 13th, September 15th has not yet been sent, it's really bad that Shopee's class has partnered with a delivery service whose work is delayed
658;5;15/09/2025 06:50;belanja di shopee bisa pilih barang sesuai kemauan, karna ada ulasan yg membantu dari pembeli..;When shopping at Shopee, you can choose items according to your wishes, because there are helpful reviews from buyers...
659;5;15/09/2025 06:49;keren;keren
660;5;15/09/2025 06:49;sangat membantu yg jauh dr jangkauan kota;very helpful for those who are far from the city
661;5;15/09/2025 06:48;suka sekali belanja d shopee banyak grtis ongkir nya;I really like shopping at Shopee, lots of free shipping
662;5;15/09/2025 06:47;mantap;solid
663;5;15/09/2025 06:45;Yaa;Yaa
